episode_id,seed_id,split,scenario_id,scenario_type,storm_severity,controller_type,communication_delay_ms,sensor_noise_level,episode_length_s,sample_interval_s,control_timestep_s,preview_window_s,Mtb_peak_reduction_pct,Mbr_rms_reduction_pct,Tm_peak_reduction_pct,Gamma_br_reduction_pct,DEL_reduction_pct,eP_RMS,A_beta,A_psi,S_a,L_inf_ms,N_viol_pre,N_viol_applied,mean_wind_speed_mps,max_rotor_arrival_wind_speed_mps,max_wave_elevation_m,significant_wave_height_m,wave_transient_factor,yaw_error_initial_deg,Mtb_peak_kNm,Mtb_rms_kNm,Mtb_norm_peak,Mbr_rms_kNm,Mbr_mean_peak_kNm,Gamma_br_mean_kNm,Gamma_br_peak_kNm,Tm_peak_kN,Tm_rms_kN,Tm_safe_kN,min_mooring_safety_margin,an_rms_mps2,an_peak_mps2,generated_power_mean_MW,generated_power_std_MW,rated_power_MW,eP_peak_abs,pitch_rate_peak_deg_s,yaw_rate_peak_deg_s,N_viol_pre_cumulative_final,N_viol_applied_cumulative_final,safety_projection_count,DEL_proxy_total,Mtb_rms_reduction_pct,Tm_rms_reduction_pct,an_rms_reduction_pct
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,30.0,0.01,100.0,0.4,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.043,1.0,0.42,0.018,1.1,0,0,14.5,15.606,2.998,5.0,0.0,2.0,27257.347,17642.8177,2.74828,2876.2367,3095.948,325.0448,541.993,6152.935,5445.538,7600.0,0.190403,0.230901,0.30678,4.890325,0.158434,5.0,0.096744,0.15015,0.07156,0,0,0,1.20049032,0.0,0.0,0.0
E002,1102,test_release_sample,S1,above_rated_operation,Moderate,IBPC without Preview,30.0,0.01,100.0,0.4,0.1,30.0,14.8,22.6,9.7,31.4,16.9,0.051,1.36,0.44,0.031,1.8,0,3,14.5,15.628,3.223,5.0,0.0,2.0,25805.826,16303.0288,2.55158,2331.1943,2671.068,249.152,372.671,5824.7,5118.3007,7600.0,0.233592,0.192728,0.24903,4.892798,0.171075,5.0,0.119629,0.32181,0.08139,0,0,0,0.80840077,7.594,6.009,18.5
E003,1103,test_release_sample,S1,above_rated_operation,Moderate,MPC Load Control,30.0,0.01,100.0,0.4,0.1,30.0,21.5,19.3,18.6,24.2,22.8,0.048,1.29,0.58,0.026,18.6,0,1,14.5,15.588,3.194,5.0,0.0,2.0,22393.107,15211.2646,2.24357,2395.1258,2726.645,267.5105,404.248,5522.956,4803.5519,7600.0,0.273295,0.185417,0.23243,4.885777,0.175147,5.0,0.11502,0.24606,0.13733,0,0,0,0.62755785,13.782,11.789,22.7
E004,1104,test_release_sample,S1,above_rated_operation,Moderate,Model-free DRL,30.0,0.01,100.0,0.4,0.1,30.0,27.9,28.7,20.5,36.8,25.4,0.061,1.72,0.81,0.064,3.4,0,11,14.5,15.508,3.09,5.0,0.0,2.0,21323.212,14171.8223,2.18417,2176.6568,2530.453,240.8133,352.835,5369.147,4729.6816,7600.0,0.293533,0.178807,0.21702,4.846697,0.218192,5.0,0.131402,0.70071,0.53463,0,1,0,0.51188343,19.674,13.146,26.4
E005,1105,test_release_sample,S1,above_rated_operation,Moderate,PI-RL LoadShield,30.0,0.01,100.0,0.4,0.1,30.0,38.6,42.3,33.7,51.9,39.4,0.046,1.41,0.62,0.024,3.9,0,0,14.5,15.539,3.007,5.0,0.0,2.0,18223.405,13199.9203,1.81919,1822.5721,2356.493,205.0595,270.355,4987.359,4328.7787,7600.0,0.343769,0.156643,0.17906,4.894267,0.17923,5.0,0.118776,0.2481,0.07798,0,0,0,0.33817877,25.182,20.508,37.8
E006,1201,test_release_sample,S2,transient_gust,High,Collective Pitch,25.0,0.015,100.0,0.4,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.043,1.0,0.42,0.018,1.1,0,0,17.0,23.897,3.595,6.0,0.0,4.0,45499.044,25607.0748,4.08983,3516.9153,4140.761,398.183,643.896,6768.784,5776.961,7600.0,0.10937,0.242236,0.34663,4.895527,0.160203,5.0,0.101178,0.15157,0.06863,0,0,0,3.88532149,0.0,0.0,0.0
E007,1202,test_release_sample,S2,transient_gust,High,IBPC without Preview,25.0,0.015,100.0,0.4,0.1,30.0,14.8,22.6,9.7,31.4,16.9,0.051,1.36,0.44,0.031,1.8,0,3,17.0,24.061,3.436,6.0,0.0,4.0,42151.825,23781.1014,3.67979,2843.4079,3448.531,311.1245,446.896,6153.27,5417.3757,7600.0,0.190359,0.203933,0.27367,4.879949,0.182789,5.0,0.121538,0.31887,0.0887,0,0,0,2.50649302,7.131,6.224,18.5
E008,1203,test_release_sample,S2,transient_gust,High,MPC Load Control,25.0,0.015,100.0,0.4,0.1,30.0,21.5,19.3,18.6,24.2,22.8,0.048,1.29,0.58,0.026,18.6,0,1,17.0,24.476,3.587,6.0,0.0,4.0,37168.748,21662.9523,3.38215,2936.3102,3429.478,328.6128,500.23,5780.219,5101.7524,7600.0,0.239445,0.193136,0.25455,4.893468,0.172246,5.0,0.120515,0.21791,0.10057,0,0,0,1.98445097,15.402,11.688,22.7
E009,1204,test_release_sample,S2,transient_gust,High,Model-free DRL,25.0,0.015,100.0,0.4,0.1,30.0,27.9,28.7,20.5,36.8,25.4,0.061,1.72,0.81,0.064,3.4,0,11,17.0,24.669,3.454,6.0,0.0,4.0,35036.247,20777.1966,3.16667,2666.8307,3260.564,295.7669,408.382,5696.855,5026.1945,7600.0,0.250414,0.186023,0.23925,4.869496,0.205912,5.0,0.131707,0.70575,0.6285,0,1,0,1.62523815,18.861,12.996,26.4
E010,1205,test_release_sample,S2,transient_gust,High,PI-RL LoadShield,25.0,0.015,100.0,0.4,0.1,30.0,38.6,42.3,33.7,51.9,39.4,0.046,1.41,0.62,0.024,3.9,0,0,17.0,24.084,3.812,6.0,0.0,4.0,29749.364,19131.3497,2.60063,2221.5084,2708.859,254.3485,322.419,5317.691,4548.6642,7600.0,0.300304,0.163408,0.1928,4.881783,0.191141,5.0,0.118587,0.28118,0.07572,0,0,0,0.93085304,25.289,21.262,37.8
E011,1301,test_release_sample,S3,freak_wave_like_event,Severe,Collective Pitch,50.0,0.02,100.0,0.4,0.1,30.0,0.0,0.0,0.0,0.0,0.0,0.043,1.0,0.42,0.018,1.1,23,0,18.0,20.618,19.858,8.5,1.8,5.0,65731.314,32844.1546,5.27341,4144.2445,5309.117,465.5259,774.051,10231.545,6321.5141,7600.0,-0.346256,0.248908,0.38003,4.907224,0.153514,5.0,0.104362,0.17377,0.0699,23,2,0,7.63011888,0.0,0.0,0.0
E012,1302,test_release_sample,S3,freak_wave_like_event,Severe,IBPC without Preview,50.0,0.02,100.0,0.4,0.1,30.0,14.8,22.6,9.7,31.4,16.9,0.051,1.36,0.44,0.031,1.8,17,3,18.0,20.786,18.931,8.5,1.8,5.0,58095.036,29940.226,4.60854,3362.0875,4234.324,364.2052,525.289,8919.613,5917.3657,7600.0,-0.173633,0.208458,0.29425,4.896623,0.171196,5.0,0.120168,0.31081,0.10991,17,2,0,4.77109386,8.842,6.393,18.5
E013,1303,test_release_sample,S3,freak_wave_like_event,Severe,MPC Load Control,50.0,0.02,100.0,0.4,0.1,30.0,21.5,19.3,18.6,24.2,22.8,0.048,1.29,0.58,0.026,18.6,5,1,18.0,21.055,18.903,8.5,1.8,5.0,49228.26,27939.4127,3.88419,3449.6194,4171.573,391.7773,575.999,7883.4,5530.0909,7600.0,-0.037289,0.200194,0.26518,4.870852,0.185541,5.0,0.117525,0.24376,0.12917,5,2,0,3.09037455,14.933,12.52,22.7
