episode_id,seed_id,split,scenario_id,scenario_type,storm_severity,controller_type,time_s,scenario_phase,control_timestep_s,sample_interval_s,communication_delay_ms,sensor_noise_level,gust_start_s,wave_event_start_s,yaw_error_initial_deg,mean_wind_speed_mps,wind_speed_mps,rotor_arrival_wind_speed_mps,wind_direction_deg,turbulence_intensity,lidar_preview_wind_speed_5s_mps,lidar_preview_wind_speed_10s_mps,lidar_preview_wind_speed_20s_mps,lidar_preview_wind_speed_30s_mps,lidar_preview_direction_30s_deg,preview_confidence,wave_elevation_m,significant_wave_height_m,wave_transient_factor,platform_pitch_deg,platform_pitch_rate_deg_s,platform_surge_m,platform_heave_m,yaw_misalignment_deg,rotor_speed_rpm,generator_speed_rpm,blade_pitch_1_deg,blade_pitch_2_deg,blade_pitch_3_deg,yaw_angle_deg,M_tb_kNm,M_tb_norm,M_br_1_kNm,M_br_2_kNm,M_br_3_kNm,M_br_mean_kNm,Gamma_br_kNm,T_m_kN,T_m_safe_kN,a_n_mps2,generated_power_MW,rated_power_MW,e_P,delta_beta_1_deg,delta_beta_2_deg,delta_beta_3_deg,delta_yaw_deg,pitch_rate_1_deg_s,pitch_rate_2_deg_s,pitch_rate_3_deg_s,yaw_rate_deg_s,mooring_safety_margin,raw_action_violation,applied_action_violation,safety_projection_active,N_viol_pre_cumulative,N_viol_applied_cumulative,DEL_proxy_increment,load_reduction_reference
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,0,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.464,15.528,224.636,0.1,15.239,15.253,15.02,15.313,226.425,0.898,2.072,5,0,1.34,0.253,0.596,0.734,1.831,12.196,1183.316,8.649,8.649,8.649,222.811,17156.157,1.72981,2986.011,3351.062,2620.959,2986.011,243.368,5690.937,7600,0.2083,4.99936,5,-0.000129,0.02564,0.02564,0.02564,0.00625,0.0641,0.0641,0.0641,0.01563,0.251193,0,0,0,0,0,0.00370783,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,0.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.38,15.416,227.969,0.1,15.417,15.292,15.631,15.459,230.43,0.887,1.679,5,0,1.248,0.252,0.549,0.563,2.216,12.174,1182.656,8.608,8.608,8.608,225.768,17296.427,1.74395,3083.007,3239.459,2523.797,2948.754,283.305,5552.846,7600,0.20864,4.95236,5,-0.009528,-0.00176,-0.00176,-0.00176,0.01532,-0.06849,-0.06849,-0.06849,0.02267,0.269362,0,0,0,0,0,0.0038152,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,0.8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.178,15.498,224.039,0.1,15.427,15.59,15.586,15.545,224.683,0.874,1.761,5,0,1.411,0.269,0.603,0.606,2.592,12.231,1186.079,8.626,8.626,8.626,221.455,17615.582,1.77613,3211.967,3131.021,2504.522,2949.17,296.432,5514.933,7600,0.20978,5.10237,5,0.020475,0.00651,0.00651,0.00651,0.00754,0.02067,0.02067,0.02067,-0.01945,0.274351,0,0,0,0,0,0.0040931,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,1.2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.223,15.436,224.034,0.1,15.233,15.453,15.428,15.337,224.415,0.864,2.966,5,0,2.242,0.25,0.715,1.011,2.885,12.206,1183.376,8.61,8.61,8.61,221.158,19594.727,1.97568,3422.229,3100.32,2635.122,3052.557,278.29,5776.755,7600,0.21439,5.00037,5,0.000074,-0.00265,-0.00265,-0.00265,0.00857,-0.0229,-0.0229,-0.0229,0.00257,0.239901,0,0,0,0,0,0.00622905,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,1.6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.616,15.254,225.468,0.1,15.135,15.245,15.331,15.692,227.589,0.895,2.056,5,0,1.88,0.297,0.632,0.736,2.009,12.091,1174.643,8.57,8.57,8.57,223.472,17598.533,1.77441,3374.612,2879.14,2650.321,2968.024,271.058,5771.915,7600,0.2103,4.9076,5,-0.01848,-0.02008,-0.02008,-0.02008,0.01294,-0.04359,-0.04359,-0.04359,0.01092,0.240537,0,0,0,0,0,0.00409943,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.432,15.555,225.366,0.1,15.507,15.466,15.272,15.39,227.827,0.9,2.998,5,0,2.476,0.214,0.74,1.021,2.421,12.255,1189.973,8.607,8.607,8.607,222.959,19595.119,1.97572,3537.313,2875.265,2875.265,3095.948,294.243,5872.024,7600,0.21369,4.9897,5,-0.00206,-0.01921,-0.01921,-0.01921,0.0137,0.00219,0.00219,0.00219,0.00191,0.227365,0,0,0,0,0,0.00623885,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,2.4,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.482,15.314,225.362,0.1,15.458,15.488,15.535,15.305,226.483,0.882,1.912,5,0,2.034,0.198,0.615,0.691,1.971,12.183,1182.045,8.606,8.606,8.606,223.397,18627.754,1.87819,3427.595,2705.442,2933.585,3022.207,270.258,5696.235,7600,0.21092,4.91724,5,-0.016553,0.00862,0.00862,0.00862,0.00578,0.06958,0.06958,0.06958,-0.0198,0.250495,0,0,0,0,0,0.00510479,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,2.8,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.206,15.396,225.503,0.1,15.193,15.408,15.612,15.395,226.664,0.886,1.811,5,0,2.069,0.217,0.589,0.642,2.264,12.203,1185.596,8.608,8.608,8.608,223.253,18875.85,1.9032,3390.056,2638.852,3082.831,3037.246,265.596,5908.225,7600,0.21192,5.03167,5,0.006333,0.00064,0.00064,0.00064,0.01377,-0.01995,-0.01995,-0.01995,0.01998,0.222602,0,0,0,0,0,0.0053951,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,3.2,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.282,15.433,225.995,0.1,15.282,15.317,15.224,15.322,225.409,0.888,1.469,5,0,1.862,0.164,0.507,0.524,1.883,12.194,1184.469,8.617,8.617,8.617,224.121,18389.449,1.85416,3251.874,2582.063,3175.234,3003.057,280.662,5702.697,7600,0.20965,4.94659,5,-0.010683,0.00471,0.00471,0.00471,0.00849,0.01015,0.01015,0.01015,-0.01322,0.249645,0,0,0,0,0,0.00485567,9917.952
E001,1101,test_release_sample,S1,above_rated_operation,Moderate,Collective Pitch,3.6,pre_event,0.1,0.4,30,0.01,34.43,44,2,14.5,15.27,15.226,225.229,0.1,15.454,15.135,15.22,15.28,229.578,0.868,1.917,5,0,2.193,0.146,0.553,0.733,2.384,12.147,1177.339,8.616,8.616,8.616,222.859,18637.638,1.87918,3144.39,2577.85,3302.892,3008.377,287.018,5753.116,7600,0.20993,5.0595,5,0.0119,0.02872,0.02872,0.02872,0.01319,0.06002,0.06002,0.06002,0.01177,0.243011,0,0,0,0,0,0.00512076,9917.952
