storm_severity,storm_severity_index,communication_delay_ms,Mtb_peak_normalized,N_viol_pre,N_viol_applied,normalized_safety_margin,safety_margin_definition,controller_type
Moderate,1,0,0.78,0,0,0.22,1 - T_m/T_m_safe,PI-RL LoadShield
Moderate,1,25,0.8,1,0,0.2,1 - T_m/T_m_safe,PI-RL LoadShield
Moderate,1,50,0.83,1,0,0.17,1 - T_m/T_m_safe,PI-RL LoadShield
Moderate,1,100,0.88,2,0,0.12,1 - T_m/T_m_safe,PI-RL LoadShield
Moderate,1,200,0.96,4,0,0.04,1 - T_m/T_m_safe,PI-RL LoadShield
High,2,0,0.84,0,0,0.16,1 - T_m/T_m_safe,PI-RL LoadShield
High,2,25,0.87,1,0,0.13,1 - T_m/T_m_safe,PI-RL LoadShield
High,2,50,0.9,2,0,0.1,1 - T_m/T_m_safe,PI-RL LoadShield
High,2,100,0.96,4,0,0.04,1 - T_m/T_m_safe,PI-RL LoadShield
High,2,200,1.05,7,0,-0.05,1 - T_m/T_m_safe,PI-RL LoadShield
Severe,3,0,0.92,0,0,0.08,1 - T_m/T_m_safe,PI-RL LoadShield
Severe,3,25,0.95,1,0,0.05,1 - T_m/T_m_safe,PI-RL LoadShield
Severe,3,50,0.99,3,0,0.01,1 - T_m/T_m_safe,PI-RL LoadShield
Severe,3,100,1.06,6,0,-0.06,1 - T_m/T_m_safe,PI-RL LoadShield
Severe,3,200,1.17,10,0,-0.17,1 - T_m/T_m_safe,PI-RL LoadShield
Extreme,4,0,1.01,1,0,0.01,1 - T_m/T_m_safe,PI-RL LoadShield
Extreme,4,25,1.05,2,0,-0.05,1 - T_m/T_m_safe,PI-RL LoadShield
Extreme,4,50,1.1,5,0,-0.1,1 - T_m/T_m_safe,PI-RL LoadShield
Extreme,4,100,1.18,9,0,-0.18,1 - T_m/T_m_safe,PI-RL LoadShield
Extreme,4,200,1.31,14,0,-0.31,1 - T_m/T_m_safe,PI-RL LoadShield
